"Maximum head changes for Stress Period     1, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
       20,  0.56697E-03,     1,     23,    314,  0.10000E-01,   104.5665    ,   104.5671    
       21,  0.33969E-01,     1,     23,    314,  0.50000    ,   104.5671    ,   104.6010    
       22,  0.40312E-03,     1,     23,    314,  0.10000E-01,   104.6010    ,   104.6014    
       23,  0.23911E-01,     1,     23,    314,  0.50000    ,   104.6014    ,   104.6253    
       24,  0.31038E-04,     1,     72,     51,  0.10000E-02,   623.2451    ,   623.2451    
       25,  0.16708E-01,     1,     23,    314,  0.50000    ,   104.6254    ,   104.6421    
       26,  0.19383E-03,     1,     23,    314,  0.10000E-01,   104.6421    ,   104.6423    
       27,  0.11459E-01,     1,     23,    314,  0.50000    ,   104.6423    ,   104.6537    
       28,  0.13226E-03,     1,     23,    314,  0.10000E-01,   104.6537    ,   104.6539    
       29,  0.77858E-02,     1,     23,    314,  0.50000    ,   104.6539    ,   104.6616    
       30,  0.85936E-04,     1,     24,    315,  0.10000E-01,   104.9485    ,   104.9485    
       31,  0.52427E-02,     1,     23,    314,  0.50000    ,   104.6617    ,   104.6670    
       32,  0.61267E-04,     1,     23,    314,  0.10000E-01,   104.6670    ,   104.6670    
       33,  0.69908E-02,     1,     23,    314,   1.0000    ,   104.6670    ,   104.6740    
"Maximum head changes for Stress Period     5, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
        1,   9.0707    ,     1,     42,    101,  0.50000    ,   389.6765    ,   398.7472    
        2,   6.1301    ,     1,     59,     68,  0.58414    ,   615.7185    ,   621.8486    
        3,   3.0997    ,     1,     32,    188,  0.22255    ,   358.1969    ,   361.2967    
        4,   6.6189    ,     1,     32,    188,  0.61127    ,   361.2967    ,   367.9156    
        5,  0.42021E-01,     1,     32,    188,  0.10000E-01,   367.9156    ,   367.9576    
        6,   2.0807    ,     1,     32,    188,  0.50000    ,   367.9576    ,   370.0383    
        7,  0.20777E-01,     1,     32,    188,  0.10000E-01,   370.0383    ,   370.0591    
        8,   1.0290    ,     1,     32,    188,  0.50000    ,   370.0591    ,   371.0881    
        9,  0.10290E-01,     1,     32,    188,  0.10000E-01,   371.0881    ,   371.0984    
       10,  0.50893    ,     1,     32,    188,  0.50000    ,   371.0984    ,   371.6073    
       11,  0.50750E-02,     1,     32,    188,  0.10000E-01,   371.6073    ,   371.6124    
       12,  0.25171    ,     1,     32,    188,  0.50000    ,   371.6124    ,   371.8641    
       13,  0.25122E-02,     1,     32,    188,  0.10000E-01,   371.8641    ,   371.8666    
       14,  0.12449    ,     1,     32,    188,  0.50000    ,   371.8666    ,   371.9911    
       15,  0.12527E-02,     1,     32,    188,  0.10000E-01,   371.9911    ,   371.9923    
       16,  0.61565E-01,     1,     32,    188,  0.50000    ,   371.9923    ,   372.0539    
       17,  0.62611E-03,     1,     32,    188,  0.10000E-01,   372.0539    ,   372.0545    
       18,  0.30432E-01,     1,     32,    188,  0.50000    ,   372.0545    ,   372.0849    
       19,  0.31037E-03,     1,     32,    188,  0.10000E-01,   372.0849    ,   372.0852    
       20,  0.15063E-01,     1,     32,    188,  0.50000    ,   372.0852    ,   372.1003    
       21,  0.13755E-03,     1,     32,    188,  0.10000E-01,   372.1003    ,   372.1005    
       22,  0.75909E-02,     1,     23,    264,  0.50000    ,   247.1217    ,   247.1293    
       23,  0.98100E-04,     1,     23,    264,  0.10000E-01,   247.1293    ,   247.1293    
       24,  0.59303E-02,     1,     23,    314,  0.50000    ,   104.6553    ,   104.6612    
       25,  0.30668E-04,     1,     53,     95,  0.10000E-02,   520.9028    ,   520.9028    
       26,  0.90897E-02,     1,     23,    314,   1.0000    ,   104.6612    ,   104.6703    
"Maximum head changes for Stress Period     6, Time Step     1"
Iteration,Max_chg,Layer,Row,Column,Damp,Hprev,Hcurr
